product_id,name,description,price,category,stock_count,sales_last_week,expiry_date
88,Bakery Item 88,High quality bakery product.,9.84,Bakery,184,13,2026-03-17
89,Pantry Staples Item 89,High quality pantry staples product.,26.11,Pantry Staples,61,25,2026-03-24
90,Household Item 90,High quality household product.,12.12,Household,63,28,2026-03-11
91,Bakery Item 91,High quality bakery product.,13.46,Bakery,76,8,2026-03-23
92,Frozen Item 92,High quality frozen product.,12.16,Frozen,135,51,2026-03-21
93,Beverages Item 93,High quality beverages product.,28.33,Beverages,34,33,2026-03-13
94,Frozen Item 94,High quality frozen product.,3.55,Frozen,157,55,2026-03-16
95,Beverages Item 95,High quality beverages product.,14.5,Beverages,135,14,2026-03-17
96,Bakery Item 96,High quality bakery product.,9.5,Bakery,186,55,2026-03-11
97,Bakery Item 97,High quality bakery product.,12.52,Bakery,22,85,2026-03-25
98,Beverages Item 98,High quality beverages product.,19.64,Beverages,174,15,2026-03-22
99,Frozen Item 99,High quality frozen product.,16.45,Frozen,175,52,2026-03-16
100,Snacks Item 100,High quality snacks product.,21.67,Snacks,146,16,2026-03-14
101,Snacks Item 101,High quality snacks product.,20.79,Snacks,102,86,2026-03-22
102,Dairy Item 102,High quality dairy product.,19.43,Dairy,82,51,2026-03-19
103,Pantry Staples Item 103,High quality pantry staples product.,10.86,Pantry Staples,58,55,2026-03-23
104,Beverages Item 104,High quality beverages product.,15.29,Beverages,118,86,2026-03-14
105,Household Item 105,High quality household product.,24.33,Household,193,21,2026-03-21
106,Fresh Produce Item 106,High quality fresh produce product.,10.3,Fresh Produce,174,81,2026-03-20
107,Beverages Item 107,High quality beverages product.,5.07,Beverages,197,30,2026-03-21
108,Frozen Item 108,High quality frozen product.,8.68,Frozen,55,18,2026-03-11
109,Pantry Staples Item 109,High quality pantry staples product.,9.23,Pantry Staples,126,78,2026-03-24
110,Fresh Produce Item 110,High quality fresh produce product.,15.02,Fresh Produce,166,73,2026-03-14
111,Snacks Item 111,High quality snacks product.,16.1,Snacks,67,18,2026-03-21
112,Pantry Staples Item 112,High quality pantry staples product.,27.05,Pantry Staples,32,99,2026-03-17
113,Bakery Item 113,High quality bakery product.,7.34,Bakery,183,66,2026-03-18
114,Pantry Staples Item 114,High quality pantry staples product.,17.83,Pantry Staples,36,58,2026-03-13
115,Household Item 115,High quality household product.,20.86,Household,148,76,2026-03-16
116,Household Item 116,High quality household product.,19.35,Household,189,64,2026-03-17
117,Household Item 117,High quality household product.,27.17,Household,195,60,2026-03-18
118,Frozen Item 118,High quality frozen product.,23.17,Frozen,168,35,2026-03-23
119,Household Item 119,High quality household product.,19.74,Household,75,56,2026-03-12
120,Frozen Item 120,High quality frozen product.,8.95,Frozen,90,40,2026-03-25
